Time,App name,No.,Source,Destination,Protocol,Length
7.694354,Google Play service,236.0,172.30.1.250,172.30.1.1,TLSv1.3,160
7.701095,Google Play service,237.0,172.30.1.1,172.30.1.250,TCP,88
7.707488,Google Play service,238.0,172.30.1.1,172.30.1.250,TLSv1.3,128
7.707658,Google Play service,239.0,172.30.1.250,172.30.1.1,TCP,88
7.762944,Google Play service,240.0,172.30.1.1,172.30.1.250,TLSv1.3,148
7.763085,Google Play service,241.0,172.30.1.250,172.30.1.1,TCP,88
7.763437,Google Play service,242.0,172.30.1.1,172.30.1.250,TLSv1.3,6476
7.763549,Google Play service,243.0,172.30.1.250,172.30.1.1,TCP,88
7.895443,Google Play service,244.0,172.30.1.250,172.30.1.1,TLSv1.3,152
7.938301,Google Play service,245.0,172.30.1.1,172.30.1.250,TCP,88
8.025535,Google Play service,246.0,172.30.1.250,172.30.1.1,TLSv1.3,340
8.025787,Google Play service,247.0,172.30.1.1,172.30.1.250,TCP,88
8.025849,Google Play service,248.0,172.30.1.250,172.30.1.1,TLSv1.3,264
8.025905,Google Play service,249.0,172.30.1.1,172.30.1.250,TCP,88
8.040276,Google Play service,250.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.040364,Google Play service,251.0,172.30.1.250,172.30.1.1,TCP,88
8.04158,Google Play service,252.0,172.30.1.1,172.30.1.250,TLSv1.3,144
8.041659,Google Play service,253.0,172.30.1.250,172.30.1.1,TCP,88
8.041928,Google Play service,254.0,172.30.1.1,172.30.1.250,TLSv1.3,700
8.041969,Google Play service,255.0,172.30.1.250,172.30.1.1,TCP,88
8.10027,Google Play service,256.0,172.30.1.250,172.30.1.1,TLSv1.3,152
8.100542,Google Play service,257.0,172.30.1.1,172.30.1.250,TCP,88
8.102252,Google Play service,258.0,172.30.1.250,172.30.1.1,TLSv1.3,576
8.102613,Google Play service,259.0,172.30.1.1,172.30.1.250,TCP,88
8.102743,Google Play service,260.0,172.30.1.250,172.30.1.1,TLSv1.3,128
8.105469,Google Play service,261.0,172.30.1.1,172.30.1.250,TCP,88
8.106612,Google Play service,262.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.106773,Google Play service,263.0,172.30.1.250,172.30.1.1,TCP,88
8.151612,Google Play service,264.0,172.30.1.1,172.30.1.250,TLSv1.3,148
8.151808,Google Play service,265.0,172.30.1.250,172.30.1.1,TCP,88
8.152445,Google Play service,266.0,172.30.1.1,172.30.1.250,TLSv1.3,5172
8.152584,Google Play service,267.0,172.30.1.250,172.30.1.1,TCP,88
8.24303,Google Play service,268.0,172.30.1.250,172.30.1.1,TLSv1.3,504
8.243485,Google Play service,269.0,172.30.1.1,172.30.1.250,TCP,88
8.244822,Google Play service,270.0,172.30.1.250,172.30.1.1,TLSv1.3,128
8.245322,Google Play service,271.0,172.30.1.1,172.30.1.250,TCP,88
8.249233,Google Play service,272.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.249342,Google Play service,273.0,172.30.1.250,172.30.1.1,TCP,88
8.279911,Google Play service,274.0,172.30.1.1,172.30.1.250,TLSv1.3,148
8.280018,Google Play service,275.0,172.30.1.250,172.30.1.1,TCP,88
8.280265,Google Play service,276.0,172.30.1.1,172.30.1.250,TLSv1.3,1820
8.280328,Google Play service,277.0,172.30.1.250,172.30.1.1,TCP,88
8.372133,Google Play service,278.0,172.30.1.250,172.30.1.1,TLSv1.3,724
8.375571,Google Play service,279.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.375742,Google Play service,280.0,172.30.1.250,172.30.1.1,TCP,88
8.396555,Google Play service,281.0,172.30.1.1,172.30.1.250,TLSv1.3,148
8.39664,Google Play service,282.0,172.30.1.250,172.30.1.1,TCP,88
8.396812,Google Play service,283.0,172.30.1.1,172.30.1.250,TLSv1.3,1200
8.396847,Google Play service,284.0,172.30.1.250,172.30.1.1,TCP,88
8.474197,Google Play service,285.0,172.30.1.250,172.30.1.1,TLSv1.3,604
8.486531,Google Play service,286.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.486608,Google Play service,287.0,172.30.1.250,172.30.1.1,TCP,88
8.535691,Gmail,288.0,172.30.1.1,172.30.1.250,DNS,108
8.581663,Gmail,289.0,172.30.1.250,172.30.1.1,DNS,124
8.596349,Gmail,290.0,172.30.1.1,172.30.1.250,TCP,108
8.602732,Google Play service,291.0,172.30.1.1,172.30.1.250,TLSv1.3,828
8.602803,Google Play service,292.0,172.30.1.250,172.30.1.1,TCP,88
8.603032,Google Play service,293.0,172.30.1.1,172.30.1.250,TLSv1.3,2680
8.603095,Google Play service,294.0,172.30.1.250,172.30.1.1,TCP,88
8.635477,Gmail,295.0,172.30.1.250,172.30.1.1,TCP,96
8.635818,Gmail,296.0,172.30.1.1,172.30.1.250,TCP,88
8.638411,Gmail,297.0,172.30.1.1,172.30.1.250,TLSv1.3,604
8.638895,Gmail,298.0,172.30.1.250,172.30.1.1,TCP,88
8.67467,Google Play service,299.0,172.30.1.250,172.30.1.1,TLSv1.3,588
8.677505,Google Play service,300.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.677759,Google Play service,301.0,172.30.1.250,172.30.1.1,TCP,88
8.694639,Gmail,302.0,172.30.1.250,172.30.1.1,TLSv1.3,4512
8.695678,Gmail,303.0,172.30.1.1,172.30.1.250,TCP,88
8.750904,Gmail,304.0,172.30.1.1,172.30.1.250,TLSv1.3,160
8.751087,Gmail,305.0,172.30.1.250,172.30.1.1,TCP,88
8.752402,Gmail,306.0,172.30.1.1,172.30.1.250,TLSv1.3,184
8.752469,Gmail,307.0,172.30.1.250,172.30.1.1,TCP,88
8.753117,Gmail,308.0,172.30.1.1,172.30.1.250,TLSv1.3,1056
8.753193,Gmail,309.0,172.30.1.250,172.30.1.1,TCP,88
8.754305,Gmail,310.0,172.30.1.1,172.30.1.250,TLSv1.3,148
8.754352,Gmail,311.0,172.30.1.250,172.30.1.1,TCP,88
8.807525,Gmail,312.0,172.30.1.250,172.30.1.1,TLSv1.3,972
8.80765,Gmail,313.0,172.30.1.1,172.30.1.250,TCP,88
8.808454,Gmail,314.0,172.30.1.1,172.30.1.250,TLSv1.3,120
8.808571,Gmail,315.0,172.30.1.250,172.30.1.1,TCP,88
8.958688,Gmail,316.0,172.30.1.250,172.30.1.1,TLSv1.3,1140
8.959026,Gmail,317.0,172.30.1.1,172.30.1.250,TCP,88
8.961043,Gmail,318.0,172.30.1.250,172.30.1.1,TLSv1.3,656
8.96115,Gmail,319.0,172.30.1.1,172.30.1.250,TCP,88
8.961178,Gmail,320.0,172.30.1.250,172.30.1.1,TLSv1.3,128
8.964567,Gmail,321.0,172.30.1.1,172.30.1.250,TCP,88
8.969194,Gmail,322.0,172.30.1.1,172.30.1.250,TLSv1.3,128
8.969294,Gmail,323.0,172.30.1.250,172.30.1.1,TCP,88
9.093769,Google Play service,324.0,172.30.1.1,172.30.1.250,TLSv1.3,1172
9.093977,Google Play service,325.0,172.30.1.250,172.30.1.1,TCP,88
9.094523,Google Play service,326.0,172.30.1.1,172.30.1.250,TCP,10048
9.094578,Google Play service,327.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
9.094705,Google Play service,328.0,172.30.1.250,172.30.1.1,TCP,88
9.095331,Google Play service,329.0,172.30.1.1,172.30.1.250,TCP,10048
9.095384,Google Play service,330.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
9.095454,Google Play service,331.0,172.30.1.250,172.30.1.1,TCP,88
9.095767,Google Play service,332.0,172.30.1.1,172.30.1.250,TCP,10048
9.095818,Google Play service,333.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
9.095871,Google Play service,334.0,172.30.1.250,172.30.1.1,TCP,88
9.096336,Google Play service,335.0,172.30.1.1,172.30.1.250,TCP,10048
9.096386,Google Play service,336.0,172.30.1.1,172.30.1.250,TLSv1.3,1304
9.096422,Google Play service,337.0,172.30.1.250,172.30.1.1,TCP,88
9.160606,Google Fi,338.0,172.30.1.1,172.30.1.250,DNS,112
9.205756,Google Play service,339.0,172.30.1.1,172.30.1.250,DNS,108
9.214867,Google Fi,340.0,172.30.1.250,172.30.1.1,DNS,128
9.323217,Google Play service,341.0,172.30.1.250,172.30.1.1,DNS,156
9.336493,Google Play service,342.0,172.30.1.1,172.30.1.250,TCP,108
9.473416,Google Play service,343.0,172.30.1.250,172.30.1.1,TCP,96
9.474331,Google Play service,344.0,172.30.1.1,172.30.1.250,TCP,88
9.479596,Google Play service,345.0,172.30.1.1,172.30.1.250,TLSv1.3,624
9.48082,Google Play service,346.0,172.30.1.250,172.30.1.1,TCP,88
9.54345,Google Play service,347.0,172.30.1.250,172.30.1.1,TLSv1.3,292
9.544491,Google Play service,348.0,172.30.1.1,172.30.1.250,TCP,88
9.547759,Google Play service,349.0,172.30.1.1,172.30.1.250,TLSv1.3,152
9.547991,Google Play service,350.0,172.30.1.250,172.30.1.1,TCP,88
9.568571,Google Play service,351.0,172.30.1.1,172.30.1.250,TLSv1.3,472
9.568776,Google Play service,352.0,172.30.1.250,172.30.1.1,TCP,88
9.646547,Google Play service,353.0,172.30.1.250,172.30.1.1,TLSv1.3,624
9.646977,Google Play service,354.0,172.30.1.1,172.30.1.250,TCP,88
9.652816,Google Play service,355.0,172.30.1.250,172.30.1.1,TLSv1.3,172
9.6531,Google Play service,356.0,172.30.1.1,172.30.1.250,TCP,88
9.656052,Google Play service,357.0,172.30.1.250,172.30.1.1,TLSv1.3,120
9.656205,Google Play service,358.0,172.30.1.1,172.30.1.250,TCP,88
9.86707,USAA SafePilot,359.0,172.30.1.1,172.30.1.250,DNS,120
9.910427,Google Play service,360.0,172.30.1.250,172.30.1.1,TLSv1.3,620
9.913126,Google Play service,361.0,172.30.1.1,172.30.1.250,TLSv1.3,124
